ὁ	ὁ, ἡ, τό	the 
πληροφορέω	πληροφορέω	to fulfill, accomplish fully
ποιητής	ποιητής, -οῦ, ὁ	a maker, a doer
πρᾶξις	πρᾶξις, -εως, ἡ	a deed, function, practice
πρίσκα	Πρίσκα	Prisca, Priscilla
προκόπτω	προκόπτω	to proceed, advance
προορίζω	προορίζω	to predetermine, foreordain, predestine
πρόσκομμα	πρόσκομμα, -τος, τό	a stumbling, an occasion of stumbling, offense
πρόφασις	πρόφασις, -εως, ἡ	a pretense, pretext
πυρετός	πυρετός, -οῦ, ὁ	a fever
πυρόω	πυρόομαι	to set on fire, to burn (pass.)
πώποτε	πώποτε	ever yet, any time
σβέννυμι	σβέννυμι	to quench, extinguish
σημαίνω	σημαίνω	to indicate, signify
σινδών	σινδών, -όνος, ἡ	fine linen cloth
σκληρύνω	σκληρύνω	to harden
σκοπέω	σκοπέω	to look at, contemplate, observe
σπεύδω	σπεύδω	to hasten, urge on, hurry
σπήλαιον	σπήλαιον, -ου, τό	a cave
σπόρος	σπόρος, -ου, ὁ	a seed (sown)
στάδιος	στάδιος	a stadia (about 600 feet)
στάχυς	στάχυς, -υος, ὁ	Stachys
στενάζω	στενάζω	to groan (within oneself), sigh deeply
στρωννύω	στρωννύω	to spread, furnish
συλλαλέω	συλλαλέω	to talk with, discuss
συμβάλλω	συμβάλλω	to discuss, consider, meet with
συμφωνέω	συμφωνέω	to agree with, agree together
συναντάω	συναντάω	to meet with, hence to happen
συνευδοκέω	συνευδοκέω	to consent, approve, agree heartily
συντέλεια	συντέλεια, -ας, ἡ	completion, end, consummation
συντελέω	συντελέω	to complete, accomplish, finish
σωφρονέω	σωφρονέω	to be of sound mind, judgment
τρῳάς	Τρῳάς, -άδος, ἡ	Troas
τρώγω	τρώγω	to gnaw, crunch, eat
ὕπνος	ὕπνος, -ου, ὁ	sleep
ὑπόδειγμα	ὑπόδειγμα, -τος, τό	a copy, example
ὑποδείκνυμι	ὑποδείκνυμι	to show, indicate, point out
ὑπόκρισις	ὑπόκρισις, -εως, ἡ	hypocrisy
ὕσσωπος	ὕσσωπος, -ου, ὁ	hyssop
ὕψος	ὕψος, -ους, τό	height
φθαρτός	φθαρτός, -ή, -όν	perishable, corruptible
φιλαδελφία	φιλαδελφία, -ας, ἡ	the love of brothers, brotherly love
φορέω	φορέω	to wear, bear
φορτίον	φορτίον, -ου, τό	a burden, load
φύλλον	φύλλον, -ου, τό	a leaf
χαλκολίβανον	χαλκολίβανον, -ου, τό	burnished bronze
χειμών	χειμών, -ῶνος, ὁ	winter, a storm
χειροποίητος	χειροποίητος, -ον	made by hand
χρῆμα	χρῆμα, -τος, τό	wealth, money
ψυχικός	ψυχικός, -ή, -όν	natural, wordly-minded
ὡσαννά	ὡσαννά	hosanna (save, we pray)
ἀαρών	Ἀαρών, ὁ	Aaron
ἀγαλλίασις	ἀγαλλίασις, -εως, ἡ	exultation, great joy, gladness
ᾄδω	ᾄδω	to sing
ἀετός	ἀετός, -οῦ, ὁ	an eagle, vulture
αἰγύπτιος	Ἂἰγύπτιος, -α, -ον	Egyptian
αἰσχύνω	αἰσχύνομαι	to dishonor, put to shame, fell ashamed
αἴτιος	αἴτιος, -ου, ὁ	causative of, responsible for
ἀκαταστασία	ἀκαταστασία, -ας, ἡ	a distrurbance, disorder, tumult
ἀκριβής	ἀκριβής, -ές	exact, precise
ἀκριβῶς	ἀκριβῶς	carefully, accurately
ἁλιεύς	ἁλιεύς, -έως	a fisherman
ἁλφαῖος	Ἁλφαῖος, -ου, ὁ	Alphaeus
ἄμεμπτος	ἄμεμπτος, -ον	blameless
ἄμμος	ἄμμος, -ου, ἡ	sand
ἀνακράζω	ἀνακράζω	to cry out
ἀνάπαυσις	ἀνάπαυσις, -εως, ἡ	cessation, rest
ἀναπέμπω	ἀναπέμπω	to send back
ἀνέγκλητος	ἀνέγκλητος, -ον	above reproach, blameless
ἀνεκτός	ἀνεκτός, -όν	tolerable, bearable
ἄνεσις	ἄνεσις, -εως, ἡ	a loosening, relaxation, rest, relief
ἀνθύπατος	ἀνθύπατος, -ου, ὁ	a consul, proconsul
ἀντίδικος	ἀντίδικος, -ου, ὁ	an opponent, adversary
ἀντιτάσσω	ἀντιτάσσομαι	to range in battle against, to oppose, resist
ἀντίχριστος	ἀντίχριστος, -ου, ὁ	antichrist
ἀόρατος	ἀόρατος, -ον	invisible
ἀπέναντι	ἀπέναντι	over against, before, contrary to
ἄργυρος	ἄργυρος, -ου, ὁ	silver
ἀρετή	ἀρετή, -ῆς, ἡ	virtue, moral excellence
ἀρίσταρχος	Ἀρίσταρχος, -ου, ὁ	Aristarchus
ἅρπαξ	ἅρπαξ, -αγος	ravenous
ἄρρωστος	ἄρρωστος, -ον	feeble, sickly
ἄρτεμις	Ἄρτεμις, -ιδος, ἡ	Artemis
ἀσύνετος	ἀσύνετος, -ον	without understanding
ἀσφαλής	ἀσφαλής, -ές	certain, definite, sure
ἀφανίζω	ἀφανίζω	to destroy
βασιλικός	βασιλικός, -ή, -όν	royal
βέβηλος	βέβηλος, -ον	worldly, profane
βύσσινος	βύσσινος, -η, -ον	fine linen
γαζοφυλάκιον	γαζοφυλάκιον, -ου, τό	treasury
γάϊος	Γάϊος, -ου, ὁ	Gaius
γάλα	γάλα, -γαλακτος, τό	milk
γένεσις	γένεσις, -εως, ἡ	origin, birth, genealogy
γεννησαρέτ	Γεννησαρέτ, ἡ	Gennesaret
δαπανάω	δαπανάω	to spend, spend freely
δεκατέσσαρες	δεκατέσσαρες	fourteen
δεκτός	δεκτός, -ή, -όν	acceptable, welcome
δή	δή	also, indeed, now, therefore (used to give greater exactness)
διαμένω	διαμένω	to remain, continue
διαπορεύομαι	διαπορεύομαι	to pass across, to journey through
διαρρήγνυμι	διαρρήγνυμι	to tear, break
δικαίως	δικαίως	righteously, justly
δόγμα	δόγμα, -τος, τό	(a public) decree, ordinance
δουλεία	δουλεία, -ας, ἡ	slavery
δυσμή	δυσμή, -ῆς, ἡ	(the) western (region)
ἑβδομήκοντα	ἑβδομήκοντα	seventy
ἐγκόπτω	ἐγκόπτω	to impede, detain, hinder
εἶδος	εἶδος, -ους, τό	form, sight, appearance
εἰσακούω	εἰσακούω	to listen, to hear
εἴσοδος	εἴσοδος, -ου, ἡ	an entrance
ἑκατονταπλασίων	ἑκατονταπλασίων, -ον	a hundred times
ἐκλύω	ἐκλύομαι	to loose, faint, grow weary
ἐκμάσσω	ἐκμάσσω	to wipe dry
ἐκτρέπω	ἐκτρέπομαι	to turn aside
ἐλαύνω	ἐλαύνω	to drive or push, row
ἐμβριμάομαι	ἐμβριμάομαι	to be moved with anger, to admonish sternly
ἐμπίπλημι	ἐμπίπλημι	to fill up, to satisfy
ἔμπορος	ἔμπορος, -ου, ὁ	a merchant
ἔμφοβος	ἔμφοβος, -ον	terrified, frightened
ἐναντίον	ἐναντίον	in the sight of, before
ἐννέα	ἐννέα	nine
ἐνοικέω	ἐνοικέω	to dwell in
ἔντιμος	ἔντιμος, -ον	valued, precious, highly regarded
ἐντυγχάνω	ἐντυγχάνω	to entreat, intercede, plead
ἐξαίφνης	ἐξαίφνης	suddenly
ἐξαλείφω	ἐξαλείφω	to wipe out, erase, obliterate
ἑξῆς	ἑξῆς	next
ἔπειμι	ἔπειμι	to come upon, come after, follow
ἐπέχω	ἐπέχω	to hold fast, to hold toward
ἐπιγραφή	ἐπιγραφή, -ῆς, ἡ	an inscription
ἐπιγράφω	ἐπιγράφω	to write upon
ἐπιεικής	ἐπιεικής, -ές	yielding, gentle, kind, courteous
ἐπισκιάζω	ἐπισκιάζω	to overshadow
ἐπίσκοπος	ἐπίσκοπος, -ου, ὁ	a superintendent, an overseer
ἐπιτυγχάνω	ἐπιτυγχάνω	to obtain
ἐπιχορηγέω	ἐπιχορηγέω	to supply
ἐρημόω	ἐρημόομαι	to desolate, lay waste
εὖ	εὖ	well
εὐπρόσδεκτος	εὐπρόσδεκτος, -ον	acceptable
εὐσχήμων	εὐσχήμων, -ον	comely, seemly, prominent
ἐφάπαξ	ἐφάπαξ	once for all
ἐφέσιος	Ἐφέσιος, -α, -ον	Ephesian
ἔχιδνα	ἔχιδνα, -ης, ἡ	a viper
ζήτημα	ζήτημα, -τος, τό	an inquiry, question, issue
ζόφος	ζόφος, -ου, ὁ	deep gloom, darkness
ἡδέως	ἡδέως	sweetly, gladly
ἡδονή	ἡδονή, -ῆς, ἡ	pleasure
ἥμισυς	ἥμισυς, -εια, -υ	half
ἡσυχάζω	ἡσυχάζω	to be still, be silent
θεμελιόω	θεμελιόω	to lay a foundation, found, establish
θεσσαλονίκη	Θεσσαλονίκη, -ης, ἡ	Thessalonica
θηλάζω	θηλάζω	to suckle, nurse
θῆλυς	θῆλυς, -εια, -υ	female, woman
θώραξ	θώραξ, -ακος, ὁ	a breastplate
ἰάσων	Ἰάσων, -ονος, ὁ	Jason
ἰδιώτης	ἰδιώτης, -ου, ὁ	an unskilled or ungifted person
ἰεσσαί	Ἰεσσαί, ὁ	Jesse
ἱματισμός	ἱματισμός, -οῦ, ὁ	clothing
καθεξῆς	καθεξῆς	successively
καίπερ	καίπερ	although
καταδικάζω	καταδικάζω	to pass sentence upon, condemn
κατακλίνω	κατακλίνω	to make to lie down, to recline
καταλαλέω	καταλαλέω	to speak evil of, slander
καταπατέω	καταπατέω	to trample under foot
καταράομαι	καταράομαι	to curse
κενόω	κενόω	to empty, make void
κῆπος	κῆπος, -ου, ὁ	a garden
κολαφίζω	κολαφίζω	to strike with the fist, treat roughly
κονιορτός	κονιορτός, -οῦ, ὁ	dust
κράσπεδον	κράσπεδον, -ου, τό	a border, tassel, fringe
κρήτη	Κρήτη, -ης, ἡ	Crete
κῦμα	κῦμα, -τος, τό	a wave
κύπρος	Κύπρος, -ου, ἡ	Cyprus
κύων	κύων, -κυνός	a dog
λατρεία	λατρεία, -ας, ἡ	service, divine worship
λειτουργός	λειτουργός, -οῦ, ὁ	a minister, a servant
ληνός	ληνός, -οῦ, ἡ	a wine press
λούω	λούω	to bathe, to wash
μαθθαῖος	Μαθθαῖος, -ου, ὁ	Matthew, one of the twelve apostles
μαίνομαι	μαίνομαι	to rage, be furious, be insane
μακεδών	Μακεδών, -όνος, ὁ	a Macedonian
μαρτύρομαι	μαρτύρομαι	to affirm, testify
μεθίστημι	μεθίστημι	to remove, turn away
μεθύσκω	μεθύσκομαι	to make drunk
μεθύω	μεθύω	to be drunken
μερίς	μερίς, -ίδος, ἡ	a part, portion
μεταδίδωμι	μεταδίδωμι	to give a share of
μετασχηματίζω	μετασχηματίζω	to transform, disguise
μιαίνω	μιαίνω	to stain, defile
μῦθος	μῦθος, -ου, ὁ	a fable, myth
μωρία	μωρία, -ας, ἡ	foolishness
νηστεία	νηστεία, -ας, ἡ	fasting, a fast
νικόδημος	Νικόδημος, -ου, ὁ	Nicodemus
ὄγδοος	ὄγδοος, -η, -ον	the eighth
ὁδηγέω	ὁδηγέω	to lead, guide, teach
ὁδηγός	ὁδηγός, -οῦ, ὁ	a leader, guide
ὀθόνιον	ὀθόνιον, -ου, τό	a piece of fine linen
οἰκτιρμός	οἰκτιρμός, -οῦ, ὁ	compassion, pity, mercy
ὀλιγόπιστος	ὀλιγόπιστος, -ον	of little faith
ὀνειδισμός	ὀνειδισμός, -οῦ, ὁ	a reproach
ὄνος	ὄνος, -ου, ὁ	an ass, donkey
ὁποῖος	ὁποῖος, -α, -ον	what sort of, what kind of
ὁρμάω	ὁρμάω	to hasten on, rush
οὐρά	οὐρά, -ᾶς, ἡ	a tail
ὀψάριον	ὀψάριον, -ου, τό	fish
παγίς	παγίς, -ίδος, ἡ	a trap, snare
παίω	παίω	to strike, spec. to sting
παμφυλία	Παμφυλία, -ας, ἡ	Pamphylia
πανουργία	πανουργία, -ας, ἡ	cleverness, craftiness. Trickery
παραβάτης	παραβάτης, -ου, ὁ	transgressor
παραγγελία	παραγγελία, -ας, ἡ	an instruction, a command
παράκλητος	παράκλητος, -ου, ὁ	helper, advocate
παρακύπτω	παρακύπτω	to stoop to look, to look
παραλύω	παραλύομαι	to weaken, disable, paralyze
παραπορεύομαι	παραπορεύομαι	to go beside or past
παροιμία	παροιμία, -ας, ἡ	a proverb, parable, allegory, figure of speech
πατέω	πατέω	to tread or tread under foot
πένθος	πένθος, -ους, τό	mourning
περιαιρέω	περιαιρέω	to cast off, take away
περίκειμαι	περίκειμαι	to be around, surround, wear
περίλυπος	περίλυπος, -ον	very sad
περιποίησις	περιποίησις, -εως, ἡ	preservation, acquisition, possession
περίσσευμα	περίσσευμα, -τος, τό	superfluity, abundance
πέτομαι	πέτομαι	to fly
πίναξ	πίναξ, -ακος, ἡ	a board, dish, platter
πλάνος	πλάνος, -ον	a deceiver
πλεονεκτέω	πλεονεκτέω	to take advantage
πλευρά	πλευρά, -ᾶς, ἡ	the side
πλοιάριον	πλοιάριον, -ου, τό	a small boat
ποίμνη	ποίμνη, -ης, ἡ	a flock
ποίμνιον	ποίμνιον, -ου, τό	a flock
προβαίνω	προβαίνω	to go forward, advance
προγινώσκω	προγινώσκω	to know beforehand
προθυμία	προθυμία, -ας, ἡ	eagerness, readiness
πρόκειμαι	πρόκειμαι	to be set before, be exhibited
πρωτοκλισία	πρωτοκλισία, -ας, ἡ	the chief place, place of honor (at table)
πταίω	πταίω	to cause to stumble, to stumble
πτέρυξ	πτέρυξ, -υγος, ἡ	a wing
πυκνός	πυκνός, -ή, -όν	frequent, numerous, often
πωρόω	πωρόω	to harden
σείω	σείω	to shake
σιδηροῦς	σιδηροῦς, -ᾶ, -οῦν	(made of) iron
σίναπι	σίναπι, -εως, τό	mustard (a plant)
σκηνόω	σκηνόω	to spread a tent, dwell
σκληρός	σκληρός, -ά, -όν	hard, rough, strong
σκορπίζω	σκορπίζω	to scatter
σκορπίος	σκορπίος, -ου, ὁ	a scorpion
σκοτίζω	σκοτίζομαι	to darken
σπυρίς	σπυρίς, -ίδος, ἡ	a large basket
στεῖρα	στεῖρα, -ας, ἡ	barren, infertile
στῆθος	στῆθος, -ους, τό	the breast, chest
στοιχέω	στοιχέω	to walk orderly, follow
συγχέω	συγχέω	to confuse, confound
συμπνίγω	συμπνίγω	to choke
συνεργέω	συνεργέω	to work together
συνεσθίω	συνεσθίω	to eat with
σύρω	σύρω	to draw, drag
συσταυρόω	συσταυρόομαι	to crucify with
τετρακισχίλιοι	τετρακισχίλιοι, -αι, -α	four thousand
τρόμος	τρόμος, -ου, ὁ	trembling, quaking
τυχικός	Τυχικός, -οῦ, ὁ	Tychicus
ὑβρίζω	ὑβρίζω	to mistreat, insult
ὑετός	ὑετός, -ου, ὁ	rain
υἱοθεσία	υἱοθεσία, -ας, ἡ	adoption
ὑπερβάλλω	ὑπερβάλλω	to go beyond, surpass
ὑπερέχω	ὑπερέχω	to rise above, to surpass
ὑπερήφανος	ὑπερήφανος, -ον	arrogant, haughty, proud
ὑπολαμβάνω	ὑπολαμβάνω	to take up, to receive, to assume
ὑπόστασις	ὑπόστασις, -εως, ἡ	substance, confidence, assurance
φαραώ	Φαραώ, ὁ	Pharaoh
φόρος	φόρος, -ου, ὁ	tribute, tax
φύραμα	φύραμα, -τος, τό	that which is mixed, a lump
φωτεινός	φωτεινός, -ή, -όν	bright, full of light
χαλκός	χαλκός, -οῦ, ὁ	money, copper or bronze
χρῄζω	χρῄζω	to need, have need of
χρίω	χρίω	to anoint
χρονίζω	χρονίζω	to spend or take time, delay
ψάλλω	ψάλλω	sing, sing praise
ψευδομαρτυρέω	ψευδομαρτυρέω	to bear false witness
ἅβελ	Ἅβελ, ὁ	Abel
ἀγαθωσύνη	ἀγαθωσύνη, -ης, ἡ	goodness
ἄγαμος	ἄγαμος, -ου, ἡ	unmarried
ἄγκυρα	ἄγκυρα, -ας, ἡ	an anchor
ἄγνοια	ἄγνοια, -ας, ἡ	ignorance
ἀγρυπνέω	ἀγρυπνέω	to be alert, keep watch 
ἀδιαλείπτως	ἀδιαλείπτως	constantly, unceasingly
ἀθῆναι	Ἀθῆναι, -ῶν, ἡ	Athens
αἰσχρός	αἰσχρός, -ά, -όν	shameful, base
αἰχμαλωτίζω	αἰχμαλωτίζω	to take or lead captive
ἀκρίς	ἀκρίς, -ίδος, ἡ	a locust
ἀκροατής	ἀκροατής, -οῦ, ὁ	a hearer
ἁλληλουϊά	ἁλληλουϊά	praise Yahweh, hallelujah
ἁμάρτημα	ἁμάρτημα, -τος, τό	a sin
ἀμελέω	ἀμελέω	to neglect, be unconcerned
ἀμίαντος	ἀμίαντος, -ον	undefiled
ἀμνός	ἀμνός, -οῦ, ὁ	a lamb
ἀναθεματίζω	ἀναθεματίζω	to curse, put under an oath or curse
ἀνακάμπτω	ἀνακάμπτω	to turn back, to return
ἀνακύπτω	ἀνακύπτω	to straighten up, stand erect
ἀνάμνησις	ἀνάμνησις, -εως, ἡ	a remembrance, reminder
ἄνθος	ἄνθος, -ους, τό	a flower
ἀνίημι	ἀνίημι	to give up, loosen, unfasten
ἅννας	Ἅννας, -α, ὁ	Annas
ἀντέχω	ἀντέχομαι	to hold, hold fast, be devoted to
ἀντιλογία	ἀντιλογία, -ας, ἡ	dispute, contradiction, hostility
ἀντλέω	ἀντλέω	to draw (water)
ἄνυδρος	ἄνυδρος, -ον	waterless, dry
ἀνυπότακτος	ἀνυπότακτος, -ον	not subject to rule, rebellious
ἀποβαίνω	ἀποβαίνω	to get out, go away
ἀπογράφω	ἀπογράφω	to register, enroll
ἀποδείκνυμι	ἀποδείκνυμι	to exhibit, display, prove
ἀποδεκατόω	ἀποδεκατόω	to tithe, collect a tithe
ἀπόκειμαι	ἀπόκειμαι	to be laid up, put away
ἀποκεφαλίζω	ἀποκεφαλίζω	to behead
ἀπόκρισις	ἀπόκρισις, -εως, ἡ	an answer
ἀποκρύπτω	ἀποκρύπτω	to hide, conceal
ἀποκυλίω	ἀποκυλίω	to roll away
ἀποπλέω	ἀποπλέω	to sail away
ἀποσπάω	ἀποσπάω	to draw away, withdraw, draw out
ἀποστολή	ἀποστολή, -ῆς, ἡ	apostleship
ἀρεστός	ἀρεστός, -ή, -όν	pleasing, desirable
ἁριμαθαία	Ἁριμαθαία, -ας, ἡ	Arimathea
ἀριστερός	ἀριστερός, -α, -v	left, on the left
ἅρμα	ἅρμα, -τος, τό	a chariot
ἀρχηγός	ἀρχηγός, -οῦ, ὁ	founder, leader, prince
ἄρωμα	ἄρωμα, -τος, τό	a spice
ἄσπιλος	ἄσπιλος, -ον	spotless, unstained
ἄστρον	ἄστρον, -ου, τό	a star
ἀσφαλίζω	ἀσφαλίζω	to make secure, fasten
ἄτιμος	ἄτιμος, -ον	without honor, dishonored
ἄτοπος	ἄτοπος, -ον	out of place, unusual, wrong
αὐτοῦ	αὐτοῦ	there, here
ἀφόβως	ἀφόβως	fearlessly
ἀφροσύνη	ἀφροσύνη, -ης, ἡ	foolishness
ἄφωνος	ἄφωνος, -ον	speechless, mute, silent
βαθύς	βαθύς, -εῖα, -ύ	deep
βαλλάντιον	βαλλάντιον, -ου, τό	a purse, money bag
βαπτισμός	βαπτισμός, -οῦ, ὁ	washing, cleansing, baptism
βάπτω	βάπτω	to dip
βαρθολομαῖος	Βαρθολομαῖος, -ου, ὁ	Bartholomew
βασίλισσα	βασίλισσα, -ης, ἡ	a queen
βενιαμίν	Βενιαμίν, ὁ	Benjamin
βλαστάνω	βλαστάνω	to sprout, produce
βλάσφημος	βλάσφημος, -ον	blasphemous, slanderous
γαλατία	Γαλατία, -ας, ἡ	Galatia
γείτων	γείτων, -ονος, ὁ	a neighbor
γένημα	γένημα, -τος, τό	fruit, produce, harvest
γέννημα	γέννημα, -τος, τό	offspring, child, brood
γλυκύς	γλυκύς, -εια, -ύ	sweet
γνήσιος	γνήσιος, -α, -ον	genuine, true, legitimate
γογγυσμός	γογγυσμός, -οῦ, ὁ	grumbling, murmuring, complaint
γονυπετέω	γονυπετέω	to fall on the knees, kneel down
γυμνάζω	γυμνάζω	to train, undergo discipline
δαμάζω	δαμάζω	to tame, subdue
δανίζω	δανίζω	to lend money, borrow money (middle)
δειπνέω	δειπνέω	to eat, dine
δεσμωτήριον	δεσμωτήριον, -ου, τό	a prison, jail
δῆμος	δῆμος, -ου, ὁ	a popular assembly, crowd
διαδίδωμι	διαδίδωμι	to distribute, give
διαπορέω	διαπορέω	to be greatly perplexed or at a loss
διάφορος	διάφορος, -ον	various, different, excellent
διηνεκής	διηνεκής, -ές	continuous, perpetual
διορύσσω	διορύσσω	to break through, break in
διπλοῦς	διπλοῦς, -ῆ, -οῦν	double, two-fold
δόμα	δόμα, -τος, τό	a present, gift
ἑβραῖος	Ἑβραῖος, -ου, ὁ	a Hebrew
ἐγκράτεια	ἐγκράτεια, -ας, ἡ	mastery, self-control
ἐθνικός	ἐθνικός, -ή, -όν	a Gentile
εἰδωλολατρία	εἰδωλολατρία, -ας, ἡ	image worship, idolatry
εἰρηνεύω	εἰρηνεύω	to bring to peace, to be at peace
εἴωθα	εἴωθα	to be accustomed
ἐκδίδωμι	ἐκδίδωμι	to rent, let out for hire
ἐκθαμβέω	ἐκθαμβέομαι	to amaze, to be amazed, distressed
ἐκλείπω	ἐκλείπω	to fail, cease, come to an end
ἐκπειράζω	ἐκπειράζω	to test thoroughly, tempt
ἐκριζόω	ἐκριζόω	to uproot
ἐκτενής	ἐκτενής, -ές	zealous, earnest, fervent
ἐκτίθημι	ἐκτίθημι	to declare, explain
ἐκτινάσσω	ἐκτινάσσω	to shake off or out
ἐμμένω	ἐμμένω	to persevere, remain (in), abide, continue
ἔνδειξις	ἔνδειξις, -εως, ἡ	a proof, sign, demonstration
ἔνδοξος	ἔνδοξος, -ον	honored, glorious, splendid
ἐνενήκοντα	ἐνενήκοντα	ninety
ἐνθύμησις	ἐνθύμησις, -εως, ἡ	deliberation, thought, idea
ἐξαγοράζω	ἐξαγοράζω	to redeem, make the most of, deliver
ἐξουσιάζω	ἐξουσιάζω	to have authority over, master
ἐπακολουθέω	ἐπακολουθέω	to follow after
ἐπίβλημα	ἐπίβλημα, -τος, τό	a patch
ἐπιβουλή	ἐπιβουλή, -ῆς, ἡ	a plot, a plot against
ἐπίθεσις	ἐπίθεσις, -εως, ἡ	a laying on, an assault
ἐπισκοπή	ἐπισκοπή, -ῆς, ἡ	a visitation, an overseeing
ἐπιστηρίζω	ἐπιστηρίζω	to strengthen
ἐπιφαίνω	ἐπιφαίνω	to appear, shine
ἐπιφωνέω	ἐπιφωνέω	to cry out, shout
ἑπτάκις	ἑπτάκις	seven times
ἐρημία	ἐρημία, -ας, ἡ	a wilderness, desert
ἑρπετόν	ἑρπετόν, -οῦ, τό	a creeping thing, reptile
εὐλαβής	εὐλαβής, -ές	devout, God-fearing
εὐοδόω	εὐοδόομαι	to prosper, succeed
ζημία	ζημία, -ας, ἡ	damage, loss
ζυμόω	ζυμόω	to leaven, ferment
ἥσσων	ἥσσων, -ον	inferior, lesser
ἡσυχία	ἡσυχία, -ας, ἡ	stillness, silence, rest
ἦχος	ἦχος, -ους, τό	a noise, sound
θεσσαλονικεύς	Θεσσαλονικεύς, -έως, ὁ	a Thessalonian
θορυβέω	θορυβέω	to make a commotion, agitate, disturb
θρηνέω	θρηνέω	to lament, mourn, sing a dirge
θρησκεία	θρησκεία, -ας, ἡ	religion, worship
θυάτειρα	Θυάτειρα	Thyatira
θυρωρός	θυρωρός, -οῦ, ὁ	a doorkeeper, gatekeeper
ἴασπις	ἴασπις, -ιδος, ἡ	jasper (a translucent stone)
ἱμάς	ἱμάς, -άντος, ὁ	a thong, strap
ἰταλία	Ἰταλία, -ας, ἡ	Italy
καθίημι	καθίημι	to let down, lower
καθό	καθό	in so far as, as, to the degree that
κακολογέω	κακολογέω	to speak evil of, revile
κακοποιέω	κακοποιέω	to do evil, harm, wrong
κακοῦργος	κακοῦργος, -ου, ὁ	a criminal
κάλυμμα	κάλυμμα, -τος, τό	a covering, veil
κάμινος	κάμινος, -ου, ἡ	a furnace
κάμπτω	κάμπτω	to bend, bow
κανά	Κανά, ἡ	Cana
κανών	κανών, -όνος, ὁ	a rule, standard
κατάγνυμι	κατάγνυμι	to break in pieces
κατακαυχάομαι	κατακαυχάομαι	to exult over, triumph over
κατακλυσμός	κατακλυσμός, -οῦ, ὁ	a flood
κατακυριεύω	κατακυριεύω	to exercise dominion over, lord over, subdue
καταλλαγή	καταλλαγή, -ῆς, ἡ	reconciliation
καταπαύω	καταπαύω	to cause to rest to rest, stop
κατασείω	κατασείω	to shake, motion, make a sign
κατασκηνόω	κατασκηνόω	cause to dwell, settle, abide
καταφέρω	καταφέρω	to bring down, against
κατήγορος	κατήγορος, -ου, ὁ	an accuser
καυματίζω	καυματίζω	to burn up, scorch
κείρω	κείρω	to shear, cut off
κέντρον	κέντρον, -ου, τό	a sharp point, sting, goad
κῆνσος	κῆνσος, -ου, ὁ	a poll tax
κιθάρα	κιθάρα, -ας, ἡ	a lyre, harp
κινδυνεύω	κινδυνεύω	to be in danger
κλῆμα	κλῆμα, -τος, τό	a vine branch
κοίτη	κοίτη, -ης, ἡ	a bed, sexual promiscuity
κολοβόω	κολοβόω	to curtail, shorten
κρανίον	κρανίον, -ου, τό	a skull
κραταιόω	κραταιόομαι	to strengthen, become strong
κτῆμα	κτῆμα, -τος, τό	a possession, piece of property
κτῆνος	κτῆνος, -ους, τό	a beast of burden
κτίσμα	κτίσμα, -τος, τό	a creature
κυκλόω	κυκλόω	to encircle, surround
κυλλός	κυλλός, -ή, -όν	crippled
κυνάριον	κυνάριον, -ου, τό	a little dog
κυριότης	κυριότης, -ητος, ἡ	lordship, dominion, authority
λαγχάνω	λαγχάνω	to chose by lot, receive
λάθρᾳ	λάθρᾳ	secretly
λάχανον	λάχανον, -ου, τό	a garden herb, a vegetable
λεγιών	λεγιών, -ῶνος, ἡ	a legion
λέπρα	λέπρα, -ας, ἡ	leprosy
λόγιον	λόγιον	a saying, an oracle
λοιδορέω	λοιδορέω	to abuse, revile
λώτ	Λώτ, ὁ	Lot
μαθητεύω	μαθητεύω	to be a disciple, to make a disciple
μαλακός	μαλακός, -ή, -όν	soft, effeminate
μαμωνᾶς	μαμωνᾶς, -ᾶ, ὁ	riches, mammon
μάννα	μάννα, τό	manna
μάχη	μάχη, -ης, ἡ	a fight, conflict
μάχομαι	μάχομαι	to fight, quarrel
μέλι	μέλι, -ιτος, τό	honey
μεσονύκτιον	μεσονύκτιον, -ου, τό	midnight
μετακαλέω	μετακαλέομαι	to invite, summon, call
μεταμορφόω	μεταμορφόομαι	to transform, transfigure
μετοικεσία	μετοικεσία, -ας, ἡ	change of abode, deportation
μηνύω	μηνύω	to make known, report, inform
μίγνυμι	μίγνυμι	to mix
μιμέομαι	μιμέομαι	to imitate, emulate
μοιχάομαι	μοιχάομαι	to commit adultery with
μύλος	μύλος, -ου, ὁ	a mill, a millstone
μωραίνω	μωραίνω	to make foolish, make tasteless
νεότης	νεότης, -ητος, ἡ	youth
νῖκος	νῖκος, -ους, τό	victory
ὀδυνάω	ὀδυνάομαι	to suffer pain, be in agony
οἰκέτης	οἰκέτης, -ου, ὁ	a house servant
ὄλεθρος	ὄλεθρος, -ου, ὁ	destruction, death, ruin
ὅλως	ὅλως	altogether, completely, actially
ὁμιλέω	ὁμιλέω	to converse, speak
ὁμοῦ	ὁμοῦ	together
ὀπτασία	ὀπτασία, -ας, ἡ	a vision
ὅρασις	ὅρασις, -εως, ἡ	a vision, appearance
ὀρθῶς	ὀρθῶς	rightly, correctly
ὁρκωμοσία	ὁρκωμοσία, -ας, ἡ	an oath
ὀρχέομαι	ὀρχέομαι	to dance
ὀστέον	ὀστέον, -ου	a bone
οὐδέπω	οὐδέπω	not yet, still not
